smiles,logp
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1C(F)(F)F,-0.45
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,4.67
CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,5.02
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,1.83
O=c1ncnc2[nH][nH]cc1-2,-0.41
CC(C)(ON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CSC12)c1csc(N)n1)C(=O)[O-],-1.21
COCc1c(C(C)C)nc(C(C)C)c(C=CC(O)CC(O)CC(=O)O)c1-c1ccc(F)cc1,4.15
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,1.26
Nc1ccn(C2OC(CO)C(O)C2(F)F)c(=O)n1,0.14
C=C1C(CO)C(O)CC1n1cnc2c(=O)nc(N)[nH]c21,-0.81
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,1.93
COc1cc(C2c3cc4c(cc3C(OC3OC5COC(c6cccs6)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,2.78
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1,1.41
O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,1.15
NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(Cl)CCC12)c1ccccc1,0.55
Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1,2.84
CNCC(O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1,3.17
O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,3.93
NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,1.15
NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CN)C(O)C(O)C3N)C2O)C(N)C(O)C1O,-2.81
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,2.90
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,4.80
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1,0.63
COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,1.93
CN(C)CCCN1c2ccccc2CCc2ccccc21,4.53
COc1cc(C)c(C=CC(C)=CC=CC(C)=CC(=O)O)c(C)c1C,5.20
COc1ccc2cc(CCC(C)=O)ccc2c1,3.41
CCC1(CC)C(=O)NC(=O)N(C)C1=O,1.18
O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,2.66
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,-0.97
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,2.82
CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,2.42
CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CCC(C)=CC21,7.29
CC(C)(O)c1ccccc1CCC(SCC1(CC(=O)O)CC1)c1cccc(C=Cc2ccc3ccc(Cl)cc3n2)c1,7.25
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,4.09
CC(CNC1CCCCC1)OC(=O)c1ccccc1,3.04
C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,2.43
CNCCC(Oc1cccc2ccccc12)c1cccs1,4.72
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,5.18
CC(N)C12CC3CC(CC(C3)C1)C2,3.28
NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)C(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C(N)C1O,-3.22
Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,-0.43
O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,5.45
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,3.99
Brc1c(NC2=NCCN2)ccc2nccnc12,1.27
Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,3.19
CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)C1CCC(=O)CC21,7.50
CCn1cc(C(=O)[O-])c(=O)c2cc(F)c(N3CC[NH+](C)CC3)cc21,0.20
CN(C)c1nc(N(C)C)nc(N(C)C)n1,2.43
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,0.85
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,1.95
OCCN1CC(O)C(O)C(O)C1CO,-2.30
CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(C)=O)CSC12)c1csc(N)n1,0.14
CCN(CC)C(=O)C(C#N)=Cc1cc(O)c(O)c([N+](=O)[O-])c1,2.50
Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O,-0.10
NC(=O)C(c1ccccc1)(c1ccccc1)C1CCN(CCc2ccc3c(c2)CCO3)C1,4.35
COc1ccc2c3c1OC1C(=O)CCC4(O)C(C2)N(C)CCC314,1.04
O=C1c2ccccc2C(=O)C1c1ccccc1,3.10
